time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-01-15T09:41:46.100Z,38.8433,-122.83,2.5,0.7,Md,,93.6,0.00898315,0.03,nc,nc72140645,2014-01-15T09:43:37.940Z,"9km WNW of Cobb, California",earthquake
2014-01-15T09:37:58.700Z,34.1378,-117.4458,2.6,1.8,Ml,18,97.2,0.08084838,0.04,ci,ci11413962,2014-01-15T09:46:06.920Z,"5km N of Fontana, California",earthquake
2014-01-15T09:35:19.050Z,34.144165,-117.4456635,5.21,4.39,mw,133,22,0.04485,0.32,ci,ci11413954,2014-01-15T09:46:40.530Z,"5km N of Fontana, California",earthquake
2014-01-15T09:34:41.700Z,38.7908,-122.7633,2.6,1.7,Md,,61.2,0.01796631,0.03,nc,nc72140635,2014-01-15T09:37:10.461Z,"1km NNW of The Geysers, California",earthquake
2014-01-15T09:28:46.400Z,38.7755,-122.883,13.4,1,Md,,183.6,0.06288207,0.12,nc,nc72140630,2014-01-15T09:43:06.894Z,"11km W of The Geysers, California",earthquake
2014-01-15T09:26:12.350Z,-6.5754,106.8341,125.99,4.5,mb,,61,1.377,1,us,usb000m1dq,2014-01-15T09:45:02.097Z,"5km ENE of Bogor, Indonesia",earthquake
2014-01-15T09:15:01.000Z,38.7578,-122.7272,1.6,0.9,Md,,144,0.01796631,0.04,nc,nc72140620,2014-01-15T09:43:06.892Z,"3km SE of The Geysers, California",earthquake
2014-01-15T08:57:04.000Z,63.9477,-149.0683,0,1.7,ml,,,,0.81,ak,ak11118146,2014-01-15T09:10:00.970Z,"11km NNW of Healy, Alaska",earthquake
2014-01-15T08:53:00.000Z,63.5814,-150.6751,0,1.4,ml,,,,0.22,ak,ak11118145,2014-01-15T08:57:52.272Z,"88km WNW of Cantwell, Alaska",earthquake
2014-01-15T08:42:06.100Z,36.5795,-121.0413,7.6,1.3,Md,,93.6,0,0.04,nc,nc72140600,2014-01-15T09:08:03.112Z,"30km NE of Soledad, California",earthquake
2014-01-15T08:38:07.280Z,-31.1956,-68.0557,88.26,5.3,mb,,59,2.574,1.14,us,usb000m1d3,2014-01-15T09:37:46.455Z,"45km NE of San Martin, Argentina",earthquake
2014-01-15T08:32:02.024Z,38.574,-118.4396,8.164,1.67,ml,11,65.9,0.084,0.1348,nn,nn00434523,2014-01-15T09:12:30.000Z,"17km ENE of Hawthorne, Nevada",earthquake
2014-01-15T08:30:15.600Z,36.5742,-121.0372,8.2,2.6,Md,,54,0.00898315,0.1,nc,nc72140580,2014-01-15T09:44:21.459Z,"30km ENE of Soledad, California",earthquake
2014-01-15T08:29:17.000Z,59.3769,-151.633,8.4,2.7,ml,,,,1.58,ak,ak11116839,2014-01-15T08:38:03.811Z,"29km S of Homer, Alaska",earthquake
2014-01-15T08:21:25.000Z,62.4327,-151.3824,73.9,2,ml,,,,0.68,ak,ak11116836,2014-01-15T08:29:04.189Z,"66km W of Talkeetna, Alaska",earthquake
2014-01-15T08:18:14.800Z,36.5742,-121.0327,8.9,3.2,Ml,,111.6,0.00898315,0.16,nc,nc72140560,2014-01-15T09:24:04.891Z,"31km ENE of Soledad, California",earthquake
2014-01-15T07:50:43.300Z,34.0595,-116.991,16.1,1.3,Ml,25,79.2,0.04491576,0.18,ci,ci11413930,2014-01-15T07:52:53.154Z,"5km ENE of Yucaipa, California",earthquake
2014-01-15T07:23:09.000Z,38.808,-122.8163,0.8,1,Md,,108,0.00898315,0.02,nc,nc72140550,2014-01-15T08:40:05.129Z,"6km WNW of The Geysers, California",earthquake
2014-01-15T07:14:49.000Z,63.4079,-147.8296,78.8,1.3,ml,,,,1.25,ak,ak11116813,2014-01-15T07:21:34.188Z,"56km E of Cantwell, Alaska",earthquake
2014-01-15T06:55:08.950Z,51.6323,150.8429,536.43,4.5,mb,,119,4.453,0.92,us,usb000m1bt,2014-01-15T07:13:08.000Z,"Sea of Okhotsk",earthquake
2014-01-15T06:43:07.000Z,63.6034,-150.7564,11,0.9,ml,,,,0.01,ak,ak11115504,2014-01-15T06:46:48.474Z,"92km WSW of Healy, Alaska",earthquake
2014-01-15T06:29:12.531Z,38.5663,-118.4403,7.5319,0.76,ml,6,166.66,0.089,0.0912,nn,nn00434511,2014-01-15T08:03:26.000Z,"16km ENE of Hawthorne, Nevada",earthquake
2014-01-15T05:50:13.000Z,63.1978,-148.957,99.9,1.6,ml,,,,1.07,ak,ak11115499,2014-01-15T05:56:31.743Z,"21km S of Cantwell, Alaska",earthquake
2014-01-15T05:46:13.800Z,19.3727,-155.2793,10.5,1.8,Ml,,104.4,0.01796631,0.38,hv,hv60623251,2014-01-15T05:51:58.398Z,"7km SW of Volcano, Hawaii",earthquake
2014-01-15T05:44:30.300Z,32.8402,-116.1248,4.6,1.2,Ml,20,68.4,0.13474729,0.34,ci,ci11413906,2014-01-15T05:46:47.242Z,"37km E of Pine Valley, California",earthquake
2014-01-15T05:37:22.200Z,35.9101,-90.9968,3.7,2.6,md,12,82.7999933760005,0.2066125,0.19,nm,nm60068471,2014-01-15T05:58:43.709Z,"15km S of Hoxie, Arkansas",earthquake
2014-01-15T05:36:36.000Z,38.761,-122.7393,2,1.4,Md,,90,0.00898315,0.04,nc,nc72143936,2014-01-15T08:12:06.715Z,"2km SE of The Geysers, California",earthquake
2014-01-15T05:33:17.530Z,38.5648,-118.4424,7.1948,1.13,ml,10,91.45,0.089,0.0893,nn,nn00434509,2014-01-15T07:07:47.000Z,"16km ENE of Hawthorne, Nevada",earthquake
2014-01-15T05:27:54.500Z,36.619,-121.0773,9.9,2.2,Md,,64.8,0.04491576,0.07,nc,nc72143931,2014-01-15T07:43:03.504Z,"31km NE of Soledad, California",earthquake
2014-01-15T05:24:42.100Z,19.4018,-155.2832,8.8,1.9,Ml,,25.2,0.00898315,0.25,hv,hv60623246,2014-01-15T05:31:00.016Z,"5km SW of Volcano, Hawaii",earthquake
2014-01-15T05:19:26.300Z,38.8377,-122.7768,2.5,0.6,Md,,154.8,0.00898315,0.01,nc,nc72143926,2014-01-15T05:43:05.484Z,"4km WNW of Cobb, California",earthquake
2014-01-15T05:04:46.000Z,38.8413,-122.8308,2.6,0.6,Md,,93.6,0.00898315,0.02,nc,nc72143901,2014-01-15T05:32:09.237Z,"9km WNW of Cobb, California",earthquake
2014-01-15T04:53:24.000Z,63.1441,-149.6347,0.8,1.6,ml,,,,0.45,ak,ak11114151,2014-01-15T05:03:34.175Z,"44km SW of Cantwell, Alaska",earthquake
2014-01-15T04:52:35.700Z,36.8568,-121.43,9.5,3.3,Ml,,28.8,0.08983153,0.08,nc,nc72143896,2014-01-15T08:31:24.213Z,"2km W of Hollister, California",earthquake
2014-01-15T04:21:13.400Z,32.8393,-116.1215,8.5,1.7,Ml,39,61.2,0.13474729,0.29,ci,ci11413882,2014-01-15T04:23:46.667Z,"38km E of Pine Valley, California",earthquake
2014-01-15T04:06:15.700Z,38.7747,-122.7548,1.5,0.8,Md,,86.4,0.00898315,0.02,nc,nc72143891,2014-01-15T04:33:07.768Z,"0km SSE of The Geysers, California",earthquake
2014-01-15T04:04:40.982Z,40.2162,-119.8017,7.4331,0.89,ml,5,249.88,0.071,0.1091,nn,nn00434506,2014-01-15T08:40:50.000Z,"54km SW of Gerlach-Empire, Nevada",earthquake
2014-01-15T03:56:25.100Z,46.1243,-122.4893,16.9,1.1,Md,,111.6,0.08084838,0.08,uw,uw60670892,2014-01-15T04:06:56.643Z,"24km N of Amboy, Washington",earthquake
2014-01-15T03:46:43.362Z,38.5653,-118.4381,7.2609,1.27,ml,10,92.2,0.091,0.0908,nn,nn00434504,2014-01-15T06:57:41.000Z,"16km ENE of Hawthorne, Nevada",earthquake
2014-01-15T03:35:00.512Z,38.5644,-118.4372,6.7994,0.94,ml,7,100.53,0.092,0.0686,nn,nn00434502,2014-01-15T07:58:33.000Z,"16km ENE of Hawthorne, Nevada",earthquake
2014-01-15T03:31:45.000Z,63.076,-151.4486,0.7,1.7,ml,,,,0.69,ak,ak11114137,2014-01-15T03:44:33.882Z,"108km NW of Talkeetna, Alaska",earthquake
2014-01-15T03:21:38.700Z,38.8242,-122.8015,3.7,0.6,Md,,61.2,0.00898315,0.02,nc,nc72143876,2014-01-15T03:48:07.826Z,"6km W of Cobb, California",earthquake
2014-01-15T03:10:49.124Z,38.5724,-118.4311,8.1766,0.84,ml,5,174.54,0.091,0.0842,nn,nn00434501,2014-01-15T07:42:31.000Z,"17km ENE of Hawthorne, Nevada",earthquake
2014-01-15T03:08:32.000Z,60.6133,-151.7482,35.2,1.6,ml,,,,0.15,ak,ak11114128,2014-01-15T03:31:16.087Z,"26km WSW of Nikiski, Alaska",earthquake
2014-01-15T03:05:28.200Z,36.8197,-121.5382,4.3,0.6,Md,,115.2,0.03593261,0.05,nc,nc72143871,2014-01-15T03:11:07.930Z,"2km S of San Juan Bautista, California",earthquake
2014-01-15T02:58:56.000Z,19.1529,-66.6965,13,3.1,Md,19,219.6,0.69080445,0.3,pr,pr14015000,2014-01-15T04:08:44.114Z,"74km N of Carrizales, Puerto Rico",earthquake
2014-01-15T02:53:09.032Z,38.5687,-118.4405,7.3175,0.37,ml,5,168.14,0.087,0.05,nn,nn00434500,2014-01-15T07:37:37.000Z,"16km ENE of Hawthorne, Nevada",earthquake
2014-01-15T02:43:02.600Z,38.8212,-122.8043,2.9,0.8,Md,,111.6,0.00898315,0.02,nc,nc72143866,2014-01-15T02:45:03.260Z,"6km NW of The Geysers, California",earthquake
2014-01-15T02:04:02.078Z,38.5687,-118.4372,6.7925,1.17,ml,9,92.82,0.089,0.1138,nn,nn00434497,2014-01-15T06:48:31.000Z,"17km ENE of Hawthorne, Nevada",earthquake
2014-01-15T01:57:27.900Z,36.5453,-121.1398,9.2,1.8,Md,,57.6,0.06288207,0.06,nc,nc72143846,2014-01-15T05:53:01.625Z,"21km NE of Soledad, California",earthquake
2014-01-15T01:45:57.500Z,38.8157,-122.8213,3.1,0.6,Md,,75.6,0.00898315,0.02,nc,nc72143841,2014-01-15T01:47:47.728Z,"7km NW of The Geysers, California",earthquake
2014-01-15T01:44:23.837Z,38.5662,-118.4366,8.0387,1.31,ml,10,92.56,0.091,0.0761,nn,nn00434495,2014-01-15T07:27:14.000Z,"17km ENE of Hawthorne, Nevada",earthquake
2014-01-15T01:41:06.000Z,61.5147,-148.208,31.9,1.3,ml,,,,0.56,ak,ak11113942,2014-01-15T01:46:10.064Z,"41km ESE of Lazy Mountain, Alaska",earthquake
2014-01-15T00:49:14.700Z,38.7522,-122.699,1.5,1.4,Md,,90,0.00898315,0.04,nc,nc72143826,2014-01-15T03:52:03.283Z,"5km ESE of The Geysers, California",earthquake
2014-01-15T00:48:45.000Z,62.9237,-148.7286,-9.9,0.5,ml,,,,0.46,ak,ak11112634,2014-01-15T01:58:57.043Z,"53km SSE of Cantwell, Alaska",earthquake
2014-01-15T00:38:15.600Z,38.8203,-122.8183,3.7,0.6,Md,,176.4,0.00898315,0,nc,nc72143806,2014-01-15T01:19:06.321Z,"7km NW of The Geysers, California",earthquake
2014-01-15T00:10:58.000Z,61.8596,-140.8888,0.1,2,ml,,,,0.82,ak,ak11112611,2014-01-15T00:18:45.948Z,"191km ENE of Chitina, Alaska",earthquake
2014-01-15T00:08:27.200Z,19.4852,-155.4422,5.7,1,Md,,97.2,0.04491576,0.1,hv,hv60622986,2014-01-15T02:06:12.312Z,"22km WNW of Volcano, Hawaii",earthquake
2014-01-15T00:05:15.000Z,63.422,-145.4204,0,1.7,ml,,,,0.58,ak,ak11112607,2014-01-15T00:11:47.768Z,"51km SSW of Deltana, Alaska",earthquake
2014-01-15T00:03:36.000Z,64.9871,-147.4307,6.9,1.3,ml,,,,0.39,ak,ak11112603,2014-01-15T00:10:25.257Z,"21km NE of Fairbanks, Alaska",earthquake
2014-01-15T00:01:00.800Z,38.8067,-122.8177,3.8,0.6,Md,,118.8,0.00898315,0.01,nc,nc72143796,2014-01-15T00:22:04.915Z,"6km WNW of The Geysers, California",earthquake
2014-01-14T23:53:01.000Z,51.2852,-176.5538,25.7,2.3,ml,,,,0.66,ak,ak11112601,2014-01-15T01:51:55.942Z,"66km S of Adak, Alaska",earthquake
2014-01-14T23:50:30.700Z,19.0627,-66.7744,44,3.4,Md,20,216,0.62702407,0.23,pr,pr14014015,2014-01-15T02:29:52.334Z,"64km N of Hatillo, Puerto Rico",earthquake
2014-01-14T23:47:32.400Z,32.5978,-116.9827,1.6,1.6,Ml,21,255.6,0.04491576,0.13,ci,ci11413866,2014-01-14T23:50:14.682Z,"7km NNE of Tijuana, Mexico",earthquake
2014-01-14T23:22:47.400Z,45.7027,-122.4005,0,0.9,Md,,169.2,0.23356197,0.23,uw,uw60670847,2014-01-14T23:41:28.315Z,"7km ESE of Hockinson, Washington",quarry
2014-01-14T23:06:56.800Z,48.0918,-121.9367,0,1.7,Md,,82.8,0.10779783,0.18,uw,uw60670842,2014-01-15T03:30:18.787Z,"2km ENE of Granite Falls, Washington",quarry
2014-01-14T22:54:39.073Z,37.7433,-115.1149,0,1.72,ml,6,202.77,0.341,0.0906,nn,nn00434469,2014-01-14T23:55:51.000Z,"42km N of Alamo, Nevada",earthquake
2014-01-14T22:44:09.300Z,34.0045,-116.793,18.9,1,Ml,33,75.6,0.12576414,0.16,ci,ci11413858,2014-01-15T01:49:15.583Z,"9km N of Cabazon, California",earthquake
2014-01-14T22:40:50.600Z,36.124,-117.9143,3.9,1.6,Ml,18,108,0.04491576,0.15,ci,ci11413850,2014-01-15T01:46:40.556Z,"53km N of Inyokern, California",earthquake
2014-01-14T22:33:30.300Z,19.1459,-66.855,8,3.2,Md,15,223.2,0.73212696,0.38,pr,pr14014014,2014-01-14T23:04:49.447Z,"73km N of Hatillo, Puerto Rico",earthquake
2014-01-14T22:24:49.000Z,34.165,-116.4133,11.3,1.2,Ml,12,147.6,0.03593261,0.07,ci,ci11413842,2014-01-15T01:20:29.875Z,"5km NNE of Yucca Valley, California",earthquake
2014-01-14T22:15:28.600Z,33.5012,-116.4682,9.4,0.9,Ml,21,100.8,0.08084838,0.11,ci,ci11413834,2014-01-15T01:02:42.633Z,"19km ESE of Anza, California",earthquake
2014-01-14T21:43:52.000Z,63.2978,-150.985,0.1,2.4,ml,,,,0.95,ak,ak11111174,2014-01-14T21:58:20.471Z,"102km W of Cantwell, Alaska",earthquake
2014-01-14T21:19:48.000Z,40.6638,-121.8132,0.5,0.8,Md,,183.6,0.10779783,0.05,nc,nc72143771,2014-01-14T23:03:06.178Z,"20km NNE of Shingletown, California",earthquake
2014-01-14T20:55:54.500Z,19.4373,-155.2093,2.5,1.8,Md,,306,0.05389892,0.28,hv,hv60622731,2014-01-14T20:59:02.112Z,"3km ENE of Volcano, Hawaii",earthquake
2014-01-14T20:47:05.000Z,60.2143,-153.6729,100,3.1,ml,,,,1.91,ak,ak11109873,2014-01-14T20:55:56.227Z,"59km WSW of Redoubt Volcano, Alaska",earthquake
2014-01-14T20:42:54.470Z,33.5005,-116.4676667,9.17,1.21,ml,30,100,0.04184,0.12,ci,ci11413826,2014-01-15T00:38:06.410Z,"20km ESE of Anza, California",earthquake
2014-01-14T20:40:26.000Z,64.9278,-149.7123,33,1.1,ml,,,,0.7,ak,ak11109867,2014-01-14T20:55:25.536Z,"44km E of Manley Hot Springs, Alaska",earthquake
2014-01-14T20:35:58.600Z,46.8748,-122.307,0,0.7,Md,,288,0.12576414,0.1,uw,uw60670782,2014-01-14T22:10:13.486Z,"3km WNW of Eatonville, Washington",quarry
2014-01-14T20:34:14.000Z,65.1156,-149.4543,10.4,1.7,ml,,,,1.41,ak,ak11109863,2014-01-14T20:48:29.836Z,"56km ENE of Manley Hot Springs, Alaska",earthquake
2014-01-14T20:23:12.600Z,19.38,-155.3055,0,1.9,md,,118.799990496001,0.04491576,0.32,hv,hv60622661,2014-01-14T20:26:19.000Z,"9km SW of Volcano, Hawaii",earthquake
2014-01-14T20:12:32.000Z,61.7808,-151.2452,72.7,2.3,ml,,,,0.46,ak,ak11108573,2014-01-14T20:31:39.876Z,"63km W of Willow, Alaska",earthquake
2014-01-14T19:52:17.400Z,19.0972,-66.638,44,3.1,Md,14,262.8,0.62432912,0.21,pr,pr14014013,2014-01-14T22:16:16.000Z,"69km N of Arecibo, Puerto Rico",earthquake
2014-01-14T19:50:08.360Z,23.0695,121.1222,15.7,4.5,mb,,89,0.359,1.07,us,usb000m10d,2014-01-15T01:20:26.873Z,"34km N of Taitung City, Taiwan",earthquake
2014-01-14T19:42:40.000Z,66.109,-148.4282,48.4,1.5,ml,,,,0.89,ak,ak11108566,2014-01-14T22:02:13.003Z,"141km N of Ester, Alaska",earthquake
2014-01-14T19:42:24.971Z,38.5709,-118.4444,6.6291,2.1,ml,17,168,0.084,0.1033,nn,nn00434455,2014-01-14T20:35:06.663Z,"16km ENE of Hawthorne, Nevada",earthquake
2014-01-14T19:39:39.600Z,38.842,-122.8352,2.2,0.6,Md,,82.8,0,0.02,nc,nc72143756,2014-01-14T20:37:04.844Z,"9km WNW of Cobb, California",earthquake
2014-01-14T19:31:43.900Z,38.8385,-122.8293,1.9,0.8,Md,,54,0.00898315,0.03,nc,nc72143751,2014-01-14T20:10:01.936Z,"9km W of Cobb, California",earthquake
2014-01-14T19:30:15.500Z,40.3992,-122.026,13.3,1.2,Md,,172.8,0.14373045,0.06,nc,nc72143776,2014-01-14T23:17:02.697Z,"15km SW of Shingletown, California",earthquake
2014-01-14T19:25:03.000Z,59.2696,-153.4986,119.1,3.6,ml,,,,1.08,ak,ak11108543,2014-01-14T21:46:26.000Z,"96km ESE of Old Iliamna, Alaska",earthquake
2014-01-14T19:24:51.000Z,63.084,-149.4029,63.8,1.6,ml,,,,0.71,ak,ak11108541,2014-01-14T19:33:52.276Z,"41km SSW of Cantwell, Alaska",earthquake
2014-01-14T19:23:46.800Z,37.6292,-118.8897,5.1,0.8,Md,,97.2,0.00898315,0.01,nc,nc72143746,2014-01-14T19:39:03.545Z,"7km ESE of Mammoth Lakes, California",earthquake
2014-01-14T19:23:20.300Z,37.6275,-118.8902,5.4,0.2,Md,,93.6,0.00898315,0.02,nc,nc72143741,2014-01-15T00:12:08.800Z,"7km ESE of Mammoth Lakes, California",earthquake
